"","X","card","reports","age","income","share","expenditure","owner","selfemp","dependents","months","majorcards","active"
"1",1,"yes",0,37.66667,4.52,0.03326991,124.9833,"yes","no",3,54,1,12
"2",2,"yes",0,33.25,2.42,0.005216942,9.854167,"no","no",3,34,1,13
"3",3,"yes",0,33.66667,4.5,0.004155556,15,"yes","no",4,58,1,5
"4",4,"yes",0,30.5,2.54,0.06521378,137.8692,"no","no",0,25,1,7
"5",5,"yes",0,32.16667,9.7867,0.06705059,546.5033,"yes","no",2,64,1,5
"6",6,"yes",0,23.25,2.5,0.0444384,91.99667,"no","no",0,54,1,1
"7",7,"yes",0,27.91667,3.96,0.01257576,40.83333,"no","no",2,7,1,5
"8",8,"yes",0,29.16667,2.37,0.07643376,150.79,"yes","no",0,77,1,3
"9",9,"yes",0,37,3.8,0.2456279,777.8217,"yes","no",0,97,1,6
"10",10,"yes",0,28.41667,3.2,0.01978,52.58,"no","no",0,65,1,18
"11",11,"yes",0,30.5,3.95,0.07802456,256.6642,"yes","no",1,24,1,20
"12",12,"no",0,42,1.98,0.0006060606,0,"yes","no",2,36,1,0
"13",13,"no",0,30,1.73,0.0006936416,0,"yes","no",1,42,0,12
"14",14,"yes",0,28.83333,2.45,0.03879551,78.87417,"yes","no",0,26,1,3
"15",15,"yes",0,35.33333,1.908,0.02690671,42.615,"yes","no",2,120,0,5
"16",16,"yes",0,41.16667,3.2,0.1258194,335.435,"yes","no",1,168,1,22
"17",17,"yes",0,40.08333,4,0.07481575,248.7192,"yes","no",2,96,1,0
"18",18,"no",7,29.5,3,4e-04,0,"yes","no",2,60,1,8
"19",19,"yes",0,39.5,9.9999,0.06579486,548.035,"yes","yes",0,28,1,0
"20",20,"no",3,45.75,3.4,0.0003529412,0,"no","no",0,28,1,10
"21",21,"yes",0,35.25,2.35,0.02238596,43.33917,"yes","no",2,115,1,1
"23",23,"yes",0,34.25,2,0.131112,218.52,"yes","no",0,12,1,0
"24",24,"yes",1,35.75,4,0.05119225,170.6408,"no","no",2,18,1,22
"25",25,"yes",0,42.66667,5.14,0.008949417,37.58333,"yes","no",2,13,1,17
"27",27,"no",0,21.66667,3.84,0.0003125,0,"no","yes",1,12,0,1
"28",28,"yes",0,22.25,1.5,0.058608,73.17667,"no","no",0,64,1,6
"29",29,"no",0,34.25,2.5,0.00048,0,"yes","no",1,12,1,0
"30",30,"yes",0,40,5.5,0.3344596,1532.773,"yes","no",4,74,1,19
"31",31,"yes",0,21.83333,2.0272,0.02532014,42.69083,"no","no",0,9,0,5
"32",32,"yes",1,29.41667,3.2,0.1567194,417.835,"no","no",0,14,1,6
"33",33,"no",1,24.91667,3.15,0.0003809524,0,"yes","no",1,40,1,5
"34",34,"yes",0,21,2.4663,0.2689328,552.7242,"yes","no",1,12,1,10
"35",35,"yes",0,23.83333,3,0.08901566,222.5392,"no","no",0,12,1,5
